DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6,year
65.5,43,37.5,167,56,59,,,,5,,,,,R98,13,68,142,61,170,68,208,65,181,66,,,,,2019
65.5,43,37.5,167,56,32,48.5,7,24,12,,,,,R99,5.5,22,136,63.5,,,,,,,,,,,2019
65.5,43,37.5,167,56,32,,,,21,,,,,R100,11,53,198,65.5,179,70.5,160,65,,,,,,,2019
65.5,43,37.5,167,56,32,,,,10.5,,,,,R101,6,1.5,184,69,,,,,,,,,,,2019
65.5,43,37.5,167,56,32,,,,6,,,,,R102,15,38,134,67,132,71.5,153,61,180,66,,,,,2019
65.5,43,37.5,167,56,32,,34,25,29,,,,,R103,7,17,182,68,,,,,,,,,,,2019
65.5,43,37.5,167,56,32,,,,17,,,,,R104,6.5,34,133,70,171,64,,,,,,,,,2019
65.5,43,37.5,167,56,32,,,,9.5,,,,,R105,15,70,224,65,220,63,121,63,116,61,,,,,2019
65.5,43,37.5,104,29,4,9,7,,,,,,,R106,7,60.5,214,69,191,67,230,66.5,150,62,,,,,2019
65.5,43,37.5,104,29,36,,,,,,,,,R107,5,33,200,65,140,68,,,,,,,,,2019
65.5,43,37.5,104,29,5,10,13,,,,,,,R108,7,35,200,71.5,204,65,123,63.5,,,,,,,2019
65.5,43,37.5,104,29,5,,33,9,12,,,,,R109,6,39,170,67,162,60,120,61,,,,,,,2019
65.5,43,37.5,53,40,5,32,12,38,2.5,,,,,R110,7,48,214,65,144,68,221,63,,,,,,,2019
65.5,43,37.5,53,40,5,,,,44,18,22,,,R111,9,20,190,68,,,,,,,,,,,2019
65.5,43,37.5,53,40,5,,,,,,18,,,R112,9,42,186,67,130,65,,,,,,,,,2019
65.5,43,37.5,53,40,5,,,,,,9.5,,,R113,9,35,210,66.5,128,65.5,,,,,,,,,2019
65.5,43,37.5,53,71,7.5,39,22,,,,,,,R114,11,71,201,65,204,64.5,157,62.5,230,63,,,,,2019
65.5,43,37.5,53,71,7.5,,9,11,10,,,,,R115,7,24,203,67.5,,,,,,,,,,,2019
65.5,43,37.5,53,71,7.5,,50,17,15,,,,,R116,6.5,8,199,67,,,,,,,,,,,2019
