Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre12/ligne8 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre_fruit,RDT,Poids ,diamètre 
71,55,37,228,96.22,54,45.5,2.5,30.18,1,20.09,30.5,,,R59,7.95,56,180,70.15,176,69.7,198,71.37,,,,,,,,,,,,,,,,,3,554,,
71,55,37,228,96.22,54,45.5,18.5,18.63,4.2,,,,,R60,9.05,53,81,52.51,,,,,,,,,,,,,,,,,,,,,1,81,,
71,55,37,228,96.22,54,42.82,11,14.08,4,,,,,R61,4.39,30.8,158,66.91,161,68.22,,,,,,,,,,,,,,,,,,,2,319,,
71,55,37,228,96.22,54,42.82,27,33.78,12,24.02,8,,,R62,6.31,31,185,71.29,,,,,,,,,,,,,,,,,,,,,1,185,,
71,55,37,228,96.22,54,42.82,27,33.78,12,24.02,12,,,R63,10.09,76,155,66.08,232,76.85,195,70.88,202,72.73,84,51.94,Tombé,,,,,,,,,,,,6,868,,
71,55,37,239,38.75,7,24.42,0,11.6,3,,,,,R64,5.43,28.9,188,70.95,105,60.51,,,,,,,,,,,,,,,,,,,2,293,,
71,55,32.2,119,28.1,4,21.34,1,12.4,5.6,,,,,R65,5.45,26,132,61.06,114,57.64,130,60.12,,,,,,,,,,,,,,,,,3,376,178,71.21
71,55,32.2,119,28.1,4,21.34,5,,,,,,,R66,7.17,52,130,61.05,165,66.38,110,55.23,143,62.17,,,,,,,,,,,,,,,4,548,129,61.2
71,55,32.2,188,86.21,13.5,,,,,,,,,R67,6.9,63,99,55.92,111,58.27,52,43.62,53,44.75,,,,,,,,,,,,,,,4,315,131,60.56
71,55,32.2,188,86.21,13.5,81.86,8,20.13,53,,,,,R68,6.12,46,135,62.85,,,,,,,,,,,,,,,,,,,,,1,135,164,66.54
71,55,32.2,188,86.21,13.5,81.86,8,20.13,61,,,,,R69,6.3,37.3,109,61.59,183,73.06,,,,,,,,,,,,,,,,,,,2,292,175,68.08
71,55,32.2,188,86.21,13.5,54.6,6,32.12,20,26.96,21,13.06,3,R70,6.72,42,134,64.25,164,67.6,129,62.82,,,,,,,,,,,,,,,,,3,427,,
71,55,32.2,188,86.21,13.5,54.6,6,32.12,20,26.96,21,13.06,9,R71,6.16,49,118,60.28,,,,,,,,,,,,,,,,,,,,,1,118,,
71,55,32.2,188,86.21,13.5,54.6,17,,,,,,,R72,7.35,25,124,60.24,148,65.26,,,,,,,,,,,,,,,,,,,2,272,,
71,55,32.2,188,86.21,13.5,54.6,30,44.8,15,34.21,2,23.05,31,R73,5.41,20.6,130,61.62,139,63.59,,,,,,,,,,,,,,,,,,,2,269,,
71,55,32.2,188,86.21,13.5,54.6,30,44.8,36,10.18,2.3,,,R74,6.6,21.6,,,,,,,,,,,,,,,,,,,,,,,0,,,
71,55,32.2,188,86.21,13.5,54.6,30,44.8,69,13.05,10,89.86,9.2,R75,6.24,22,100,56.07,61,46.1,98,54.41,,,,,,,,,,,,,,,,,3,259,,
71,55,32.2,188,86.21,13.5,54.6,30,44.8,69,13.05,10,89.86,19.4,R76,6.65,28,,,,,,,,,,,,,,,,,,,,,,,0,,,
71,55,32.2,188,86.21,13.5,54.6,30,44.8,72,16.39,7,8.73,3,R77,5.61,25,97,59.55,114,59.01,,,,,,,,,,,,,,,,,,,2,211,,
71,52,36,123,40.84,10,31.64,19,23.96,10,,,,,R78,5.68,32,154,65.86,144,64.6,,,,,,,,,,,,,,,,,,,2,298,189,72.17
71,52,36,178,28.83,19,20.53,16,16.91,2,,,,,R79,5.04,31,136,63.4,89,53.74,,,,,,,,,,,,,,,,,,,2,225,,
71,52,36,223,97.53,0,29.83,3,,,,,,,R80,7.99,57,,,111,57.51,,,,,,,,,,,,,,,,,,,1,111,,
71,52,36,223,97.53,0,29.83,10,,,,,,,R81,6.62,32,95,59.3,110,58.85,,,,,,,,,,,,,,,,,,,2,205,,
71,52,36,223,97.53,28,27.68,9.5,9.87,13.2,,,,,R82,6.37,55,56,44.5,100,57.15,66,48.41,,,,,,,,,,,,,,,,,3,222,,
71,52,36,223,97.53,46,45.66,12.6,2,22.2,,,,,R83,6.59,61,130,61.9,142,64.84,130,62.35,105,64,,,,,,,,,,,,,,,4,507,,
71,52,36,223,97.53,46,45.66,12.6,,,,,,,R84,7.42,73.1,102,57.41,141,62.55,137,62.75,108,58.26,143,65.5,,,,,,,,,,,,,5,631,,
71,52,36,223,97.53,46,45.66,15.6,41.17,26,,,,,R85,6.36,48,126,59.81,128,60.36,,,,,,,,,,,,,,,,,,,2,254,,
71,52,36,223,97.53,46,45.66,15.6,41.17,49,16.11,8.2,,,R86,7.63,43,77,48.71,163,67.99,84,52.52,,,,,,,,,,,,,,,,,3,324,,
71,52,36,223,97.53,46,45.66,15.6,41.17,73,20.86,6,,,R87,10.79,68,150,64.97,119,62.3,144,62.4,214,80.31,180,68.5,,,,,,,,,,,,,5,807,,
71,52,36,223,97.53,46,45.66,15.6,41.17,73,20.86,9.2,,,R88,7.7,61,181,70.5,155,66.03,130,58.95,152,67.28,,,,,,,,,,,,,,,4,618,,
71,52,36,223,97.53,56,9.09,1,,,,,,,R89,4.73,25,145,65.1,116,58.22,,,,,,,,,,,,,,,,,,,2,261,,
71,52,36,223,97.53,64,31.88,9.2,,,,,,,R90,7.13,38,77,48.05,,,,,,,,,,,,,,,,,,,,,1,77,,
71,52,36,223,97.53,64,31.88,17.2,24.8,0.5,,,,,R91,12.18,63.9,154,66.09,166,68.84,158,65.96,,,,,,,,,,,,,,,,,3,478,,
71,52,36,223,97.53,64,31.88,17.2,24.8,10.5,36.89,3,,,R92,8.59,59,174,70.49,193,72.69,205,73.37,144,72.4,,,,,,,,,,,,,,,4,716,,
71,52,36,223,97.53,64,31.88,17.2,24.8,10.5,36.89,42,22.9,2,R93,6.31,41,204,72.37,233,77.44,193,73.37,144,72.4,,,,,,,,,,,,,,,4,774,,
71,52,36,223,97.53,64,31.88,17.2,24.8,10.5,36.89,43,12.4,24.5,R94,6.44,45,193,70.44,185,71.88,,,,,,,,,,,,,,,,,,,2,378,,
71,52,36,223,97.53,64,31.88,22.2,30.32,18,,,,,R95,9.12,36,183,69.2,139,65.89,,,,,,,,,,,,,,,,,,,2,322,,
71,52,36,223,97.53,64,31.88,22.2,30.32,28,16.8,2,,,R96,8.51,58,165,68.6,178,69.32,142,69.34,142,69.34,152,66.68,183,71.62,152,63.27,,,,,,,,,7,1114,,
71,52,36,223,68.7,0,56.46,4,40.61,4,18.16,9,,,R97,10.04,67,,,,,,,,,,,,,,,,,,,,,,,0,,,
71,52,36,223,68.7,0,56.46,4,40.61,4,18.16,22,,,R98,10.32,78,70,48.02,192,71.13,183,72.4,,,,,,,,,,,,,,,,,3,445,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RDT TOTAL,,37.009,,
