Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 11 / ligne 13 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,Poids ,diamètre ,,moy-poids
71.5,41,32.5,223.70000000000002,57.47,24,,,,,,,,,R57,3.89,15,,,,,,,,,,,,,,,,,,,,,,,0,0,89,55.22,,,,
71.5,41,32.5,223.70000000000002,57.47,37.5,27.5,7,,,,,,,R58,8.96,29,137,62.45,,,,,,,,,,,,,,,,,,,,,1,137,152,65.91,,,,
71.5,41,32.5,223.70000000000002,57.47,37.5,27.5,31.5,18.5,5,,,,,R59,4.98,26.5,,,,,,,,,,,,,,,,,,,,,,,0,0,141,63.89,,,,
71.5,31,40.3,63,83.5,13,12.9,21,,,,,,,R60,6.66,59.4,90,54.57,91,58.09,,,,,,,,,,,,,,,,,,,2,181,131,59.43,,,,
71.5,31,40.3,63,83.5,27,,,,,,,,,R61,6.18,58,85,49.57,67,46.31,77,48.8,75,47.69,,,,,,,,,,,,,,,4,304,70,48.76,,,,
71.5,31,40.3,63,83.5,48,14.62,19.5,,,,,,,R62,6.53,55,106,58.55,81,46.16,92,53.95,78,49.74,,,,,,,,,,,,,,,4,357,100,55.35,,,,
71.5,31,40.3,63,83.5,63,14.76,2,10.49,6.5,,,,,R63,4.46,24,105,58.99,,,,,,,,,,,,,,,,,,,,,1,105,99,54.66,,,,
71.5,31,40.3,63,83.5,67.5,18.36,25.5,,,,,,,R64,9.61,96,134,62.38,116.76,,116.76,,116.76,,,,,,,,,,,,,,,,4,484.28,52,39.71,,,,
71.5,31,40.3,63,83.5,69.5,1062,5,,,,,,,R65,6.29,48,135,62.8,105,56.05,96,52.48,78,48.68,88,51.54,,,,,,,,,,,,,5,502,138,62.34,,,,
71.5,31,40.3,63,83.5,74.5,,,,,,,,,R66,7.18,84.9,113,59.69,148,64.28,113,56.17,,,,,,,,,,,,,,,,,3,374,152,67.68,,,,
71.5,31,40.3,63,83.5,95.5,14,6,,,,,,,R67,8.94,71,152,66.72,134,59.51,97,55.65,,,,,,,,,,,,,,,,,3,383,74,51.63,,,,
71.5,31,40.3,63,83.5,95.5,74.92,13,16.94,2,,,,,R68,5.77,39,109,58.49,124,61.73,98,56.95,,,,,,,,,,,,,,,,,3,331,153,68.54,,,,
71.5,31,40.3,63,83.5,95.5,74.92,36,13.31,3,,,,,R69,4.24,20.5,,,,,,,,,,,,,,,,,,,,,,,0,0,195,70.98,,,,
71.5,31,40.3,63,83.5,95.5,74.92,36,23.29,11,,,,,R70,6.8,29,116,58.7,116.76,,,,,,,,,,,,,,,,,,,,2,232.76,147,46.63,,,,
71.5,31,40.3,63,83.5,95.5,74.92,36,23.29,44,,,,,R71,6,37,128,62.57,,,,,,,,,,,,,,,,,,,,,1,128,146,64.61,,,,
71.5,31,40.3,63,83.5,95.5,74.92,36,23.29,65,10.87,12,,,R72,7,79,105,57.45,137,60.91,,,,,,,,,,,,,,,,,,,2,242,153,66.15,,,,
71.5,31,40.3,63,83.5,95.5,74.92,58,,,,,,,R73,6.4,53,121,62.39,172,69.51,100,56.86,,,,,,,,,,,,,,,,,3,393,138,62.51,,,,
71.5,31,40.3,63,83.5,95.5,74.92,84.5,,,,,,,R74,6.35,28,131,60.19,148,63.26,,,,,,,,,,,,,,,,,,,2,279,181,70.24,,,,
71.5,31,40.3,63,83.5,95.5,74.92,90.5,28.68,10.5,,,,,R75,7.91,65,103,57.18,81,49.07,119,60.14,91,56.49,71,49.31,66,49.05,104,57.22,108,57.24,65,47.16,65,46.76,,,10,873,197,70.72,,,,
71.5,31,40.3,63,83.5,95.5,74.92,90.5,28.68,14,,,,,R76,5.5,19.5,,,,,,,,,,,,,,,,,,,,,,,0,0,179,69.06,,,,
71.5,31,40.3,63,83.5,95.5,74.92,90.5,28.68,22,21.7,6.5,,,R77,4.6,18,102,55.76,63,43.56,59,49.38,45,39.82,102,55.68,94,50.91,78,51.99,110,55.39,65,46.43,74,48.53,114,55.83,11,906,117,59.46,,,,
71.5,31,40.3,63,83.5,95.5,74.92,90.5,28.68,22,21.7,18.5,,,R78,9.24,52,88,51.31,,,,,,,,,,,,,,,,,,,,,1,88,118,59.36,,,,
71.5,31,40.3,63,83.5,121,15.67,18.5,,,,,,,R79,7.5,65,70,51.18,123,59.53,,,,,,,,,,,,,,,,,,,2,193,158,69.3,,,,
71.5,31,40.3,63,83.5,139,12.14,10,8.8,30,,,,,R80,3.3,11.5,93,56.04,,,,,,,,,,,,,,,,,,,,,1,93,187,74.77,,,,
71.5,31,40.3,63,83.5,187,,,,,,,,,R81,6.5,35,116.76,,,,,,,,,,,,,,,,,,,,,,1,116.76,180,69.83,,,,
71.5,31,40.3,63,83.5,214,44.59,4,26.5,34,,,,,R82,4.7,19,91,53.98,116.76,,,,,,,,,,,,,,,,,,,,2,207.76,141,62.64,,,,
