,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr6,DFr6,DChar5,LChar5,PFr5,DFr5
62,66.5,40,31.5,35.5,,,,,,,,,R62,17.04,175.0,232.0,73.0,108.0,58.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
63,66.5,40,31.5,28.0,37.13,3.5,,,,,,,R63,5.94,55.5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
64,66.5,40,31.5,13.0,54.43,94.0,,,,,,,R64,9.06,67.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
65,66.5,40,31.5,13.0,54.43,7.0,31.15,17.0,,,,,R65,11.97,73.0,208.0,71.0,168.0,66.5,192.0,69.0,,,0.0,0.0,0.0,0.0,0.0,0.0
66,66.5,40,31.5,13.0,54.43,7.0,29.13,4.0,,,,,R66,11.62,77.0,224.0,74.0,150.0,63.0,170.0,76.0,,,0.0,0.0,0.0,0.0,0.0,0.0
67,66.5,40,31.5,13.0,54.43,-47.0,,,,,,,R67,4.0,133.0,262.0,84.0,262.0,85.0,144.0,63.0,,,0.0,0.0,0.0,0.0,0.0,0.0
68,66.5,40,31.5,30.0,52.92,28.5,28.16,3.0,,,,,R68,8.15,67.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
69,66.5,40,31.5,30.0,52.92,28.5,28.16,0.0,,,,,R69,10.88,107.5,246.0,74.0,206.0,70.0,192.0,71.0,162.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
70,66.5,40,31.5,30.0,52.92,16.0,26.64,3.0,,,,,R70,9.63,81.5,172.0,68.0,158.0,65.0,158.0,65.0,,,0.0,0.0,0.0,0.0,0.0,0.0
71,66.5,40,31.5,30.0,52.92,16.0,26.64,0.0,,,,,R71,8.19,69.5,224.0,64.0,148.0,64.0,162.0,75.0,,,0.0,0.0,0.0,0.0,0.0,0.0
72,66.5,40,31.5,30.0,52.92,14.0,15.99,36.0,,,,,R72,10.24,56.5,182.0,69.0,138.0,63.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
73,66.5,40,31.5,30.0,52.92,-16.0,,,,,,,R73,8.04,87.0,200.0,70.0,156.0,64.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
74,66.5,40,29.5,24.0,,,,,,,,,R74,15.37,123.0,168.0,66.0,130.0,63.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
75,66.5,40,29.5,23.0,,,,,,,,,R75,4.79,43.5,110.0,56.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
76,66.5,40,29.5,56.0,15.49,5.0,,,,,,,R76,6.18,61.0,170.0,65.0,136.0,61.5,74.0,54.0,,,0.0,0.0,0.0,0.0,0.0,0.0
77,66.5,40,29.5,-46.5,11.89,4.0,,,,,,,R77,4.68,41.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
78,66.5,40,29.5,-46.5,11.89,4.5,9.36,14.0,,,,,R78,6.55,43.0,134.0,68.0,116.0,66.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
79,66.5,40,29.5,-14.5,,,,,,,,,R79,5.64,59.5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
80,66.5,40,29.5,32.0,16.3,11.0,,,,,,,R80,4.39,28.0,74.0,51.0,76.0,50.0,82.0,49.0,,,0.0,0.0,0.0,0.0,0.0,0.0
81,66.5,40,29.5,32.0,16.3,6.0,,,,,,,R81,5.4,34.0,110.0,57.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
