DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,PFr2,PFr3,PFr4,PFr5,PFr6,year,variety,Total_Poids
64.5,54.5,38,38,56.5,69,,,,4,,,,,R26,9,74,177,186,209,182,,,2019,1,754
71.3,32.5,41.6,145,,43.8,33.6,0,8.4,6,,,,,R 86,4.6,20,100,80,,,,,2022,2,180
77,37,38,47,94.2,218.4,48,4,25,7,,,,,R 114,17,153,130,140,,,,,2022,2,270
75,42,35.5,196.5,90,51,65.7,8.5,46.4,55.4,20.4,41.3,,,R36,6.4,46.2,,,,,,,2022,1,0
75,34,41,217,122.1,40.5,64.6,41,53.8,13,18.1,6.5,,,R115,7.3,62.5,63,132,125,,,,2022,1,320
71.4,33,39,210,104.8,38,49.59,46,51.3,7.5,13.7,13,,,R108,8.4,80.5,173,149,145,144,,,2021,1,611
71,55,32.2,188,86.21,13.5,54.6,6,32.12,20,26.96,21,13.06,3,R70,6.72,42,134,164,129,,,,2021,1,427
70,60,39,69,85.6,25,42.4,90,25.6,3,13.2,45.2,,,R23,6.4,35,108,155,,,,,2022,1,263
73,45,39,135,81.9,35,71.6,35,11.7,3,,,,,R131,5.4,30.5,81,143,119,,,,2021,1,343
77,6,36.5,290,,,,,,,,,,,R108,5.63,26,,,,,,,2021,2,0
66.5,40,31.5,56,48.52,20,8.98,8,,,,,0,0,R55,6.38,88,128,,,,0,0,2019,2,128
75,42,35.5,196.5,90,51,63.7,8.5,44.4,27.9,28.7,57.8,,,R32,9.2,78.5,142,146,179,,,,2022,1,467
73,50,39,117,93.8,161.4,65.5,12,47.7,34,20.6,26.5,,,R19,6.6,58,119,,,,,,2022,1,119
62,25.5,35.5,161,49,96,19.4,8,12.28,4,,,,,R17,7.33,,,,,,,,2021,2,0
75,34,34.5,190.5,106.3,50,76.1,2.5,23.5,15.5,20,20.5,,,R 17,5.1,51,160,100,,,,,2022,2,260
68,26,34.5,66,90,102.8,31,1.1,8.8,7,,,,,R34,5,20,,,,,,,2022,2,0
73,72,63.2,41,81.3,16,29.8,32.3,,,,,,,R4,4.7,23,118,103,,,,,2022,1,221
75,23,36.2,259.6,63.4,35,22.9,38,,,,,,,R 35,6,46.5,180,180,,,,,2022,2,360
59,55,34,60,,7,16,7,,,,,,,R129,13.5,55,216,213,202,,,,2019,1,631
64,51,85,46,48.5,5,,,,,,1.5,,,R91,6,3,122,,,,,,2019,1,122
58.8,35,28,292.5,32.42,7,14.69,33,,,,,,,R86,3.77,23,137.23,,,,,,2021,2,137.23
65.5,43,37.5,167,56,32,,,,21,,,,,R100,11,53,198,179,160,,,,2019,1,537
75,43,42,138.3,100.7,109,61.5,7.5,41.6,40.5,,,,,R78,6.6,45,,,,,,,2022,1,0
75.5,44,38.5,176,76.5,13,63.5,53,23.15,23.5,,,,,R32,13.8,91,,158,117,,,,2021,1,275
62,32,36,122,57,105,30.5,4,,,,,,,R67,4.8,,172,,,,,,2021,2,172
71.4,45,34,205,73.06,24,45.21,50.5,39.4,7,1.06,5,,,R19,8.49,57,116,,,,,,2021,1,116
73,27,34,198,59.8,0,52,64.5,,,,,,,R 106,7.3,61,150,170,,,,,2022,2,320
73,72,91.2,41,87,65.2,85.8,107,41.9,30.3,12.7,17,,,R23,10.5,82,158,149,,,,,2022,1,307
68,34,30.5,208.3,52.8,25,38.9,21,24.1,3.5,22.45,44,,,R110,8.27,42.5,56,,,,,,2021,2,56
70,55,37,203,71.3,74,35,9,25.1,42,,,,,R69,6.5,49,145,154,173,,,,2022,1,472
64.5,54.5,38,30.5,105.5,27,,,,5.5,,,,,R109,13,38,168,,,,,,2019,1,168
58.8,41,32,192.5,,,,,,,,,,,R18,7,30,215,137.23,,,,,2021,2,352.23
