DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,PFr2,PFr3,PFr4,PFr5,PFr6,year,variety,Total_Poids
71,33,38,122,62,108,22,7,9,20,,,,,R124,4,21.5,122.8,122.8,122.8,,,,2021,2,368.4
75,51,40,58,37.33,78,23.24,4,22.43,9,12.8,9,10.5,13,R82,6,20,92,71,,,,,2021,1,163
64.5,34,32.5,-3,15,4,,,,,,,,,R57,9.5,64,154,148,168,,,,2019,2,470
75,48,43,224,95.8,28,39,18.3,25.5,21,,,,,R76,5.7,41,172,87,57,,,,2022,1,316
64,51,117,77,25,34,13,4.5,8,5,,,,,R3,4.5,38,170,169,,,,,2019,1,339
71,54,31,143,34.18,6.8,26.88,14,30.54,15.5,16,5.5,12.45,7.2,R1,6.42,62.1,147,133,80,117,116,117,2021,1,710
73,52,42,192,80.33,54,55.88,8,44.2,39.5,27.02,6,,,R62,8.86,67,149,303,,,,,2021,1,452
64,51,85,87,40,9,10,28,,,,,,,R61,4.5,40,182,160,,,,,2019,1,342
73,92,213,37.2,86.4,56,67.8,9,62.5,38,34.5,19,13,6,R97,8.2,53,114,93,160,172,,,2022,1,539
73,41,34,152.9,52.59,65,35.88,39,26.65,2,,,,,R10,10.76,82,153,167,153,174,180,,2021,1,827
59.5,31,30,83,17.5,21.5,,,,,0,0,0,0,R3,7,45,106,,,,,,2019,2,106
68,33,35,95,56.8,1,11.4,2,,,,,,,R89,6.7,38,120,,,,,,2022,2,120
73,72,124.2,41,43.6,3.5,21.7,17.2,16,12.5,14.6,10,,,R32,9,107,109,114,90,111,,,2022,1,424
67,33.5,33.5,91.5,13.13,71,,,,,,,,,R7,5.5,57.5,133.37,,,,,,2021,2,133.37
77,35,38,89,72.3,4,29.5,124,,,,,,,R64,7.17,71.5,72,131.98,131.98,,,,2021,2,335.96
75,60,41,117,79.1,105,23.5,23,12,10,,,,,R23,7.8,49,153,142,191,,,,2022,1,486
77,24,33.5,208.5,57.9,68,,,,,,,,,R174,8.72,66.7,159,116,174,,,,2021,2,449
73,58,106,36.2,77,4,29.5,10,15.7,17.7,,,,,R59,8.2,94,208,80,115,140,,,2022,1,543
77,35,38,183,57.6,30,,,,,,,,,R79,6,35.5,,,,,,,2021,2,0
66,22.5,34,243.5,93.5,76,45.2,25.7,17,18.2,,,,,R 99,6.5,28,200,180,,,,,2022,2,380
71,33,44.6,26,31,180,,,,,,,,,R110,13.5,115,154,122.8,174,122.8,,,2021,2,573.6
73,52,42,133,63.34,63,26.2,12,18.9,10,20.5,4,,,R56,7.96,38,112,143,,,,,2021,1,255
75,48,43,206,228.7,35.3,86.3,54,40.6,23,,,,,R64,7.3,62,153,148,118,,,,2022,1,419
59.5,31,36,0,40,26,,,,,0,0,0,0,R89,10,8.5,,,,,,,2019,2,0
71,47,40.5,136,76.35,8,44.6,46,15.77,4.5,,,,,R71,7.14,70,118,142,161,,,,2021,1,421
75,48,43,206,228.7,35.3,86.3,35,44.1,42,26.1,25,,,R62,10.7,83,158,127,87,155,147,97,2022,1,771
71.5,31,40.3,63,83.5,95.5,74.92,36,23.29,11,,,,,R70,6.8,29,116,116.76,,,,,2021,2,232.76
77,6,36.5,116,20.29,71.8,,,,,,,,,R84,5.93,33,123.51,123.51,,,,,2021,2,247.02
73,45,39,127,52.35,31,28.31,33,26.6,18.5,,,,,R126,5.23,26,131,162,148,,,,2021,1,441
75,43,42,116.3,56.8,58.1,,,,,,,,,R60,5.8,28,,,,,,,2022,1,0
76,52,33.5,164,67.8,67,42.5,49.5,26,22,,,,,R18,10.5,81,136,113,124,144,,,2022,1,517
66.5,40,39,17,62.2,14,14.55,6,,,,,0,0,R6,4.6,32,174,,,,0,0,2019,2,174
75,60,41,110,85.4,45,103.9,20,48.1,0,20.1,23,,,R8,6.7,35,190,74,110,146,,,2022,1,520
75,50,36,190,81.6,84,21.9,13,15.38,1.5,11.39,2.4,,,R27,7.28,22,150,,,,,,2021,1,150
68,26,34.5,222,64.5,57.8,30.9,32.5,,,,,,,R60,8.5,44.5,,,,,,,2022,2,0
77,46.5,38,59,87.6,136,16,2.5,,,,,,,R33,8.88,94,131.98,131.98,131.98,,,,2021,2,395.94
64.5,34,32.5,38,34,6.5,9.5,5.5,,,,,,,R81,7,47.5,140,126,108,144,,,2019,2,518
65.5,43,37.5,42,90,14,,,31,7,,,,,R78,6,45,131,180,137,,,,2019,1,448
55.5,51,27.5,0,14.75,9,,,,,,,0,0,R54,5.92,60.5,,,,,,,2019,2,0
73,45,39,127,52.35,10,40.86,60,30.8,45,9.5,2.5,,,R122,8.7,60,154,113,133,166,138,,2021,1,704
71.3,35,36,66,,33,6,9,,,,,,,R 103,4.5,32,80,100,,,,,2022,2,180
70,59,33,108,69.8,14.5,23.7,80,8.81,15,,,,,R68,4.69,32,120,100,110,,,,2021,1,330
68,37,35,159,33.8,39,10.8,25,,,,,,,R13,5.8,33,,,,,,,2021,2,0
81,21,36,160,38.8,14,,,,,,,,,R114,6.6,28,170,160,,,,,2022,2,330
71,33,34.2,121,27.9,108.5,,,,,,,,,R21,4.6,28,102,,,,,,2021,2,102
62,30,31,316,38.3,47,15.9,36,,,,,,,R149,5.6,,128.51,128.51,,,,,2021,2,257.02
64.5,34,32.5,66,55.5,46,,,,,,,,,R20,11,3,140,178,,,,,2019,2,318
66,22.5,34,227,44.3,106,,,,,,,,,R 93,10.1,80,230,60,,,,,2022,2,290
59.5,31,30,12,11,5,,,,,0,0,0,0,R12,6,49,138,82,48,,,,2019,2,268
77,8,34.5,100,63.3,26,27.34,40,15.22,2,9.5,5.5,,,R17,4.8,31,105,,,,,,2021,2,105
64.5,54.5,38,30.5,105.5,27,,,,,,,,,R118,13.5,72,208,177,200,226,,,2019,1,811
75,34,41,129.5,59,9.5,18.6,24.5,,,,,,,R105,5.5,37.5,122,,,,,,2022,1,122
75,31.5,35,190.5,77.7,53,36.1,48.3,,,,,,,R 115,9.2,64.7,,,,,,,2022,2,0
71.3,32.5,41.6,66,,21,59.1,14,30.3,49.7,,,,,R 58,6.4,36,160,120,,,,,2022,2,280
71.3,35,36,144.4,,48,17.3,2,,,,,,,R 111,4.3,18,180,,,,,,2022,2,180
77,35,38,89,72.3,81,69.23,47,60,46,35.8,4.5,,,R73,4.9,26,0,,,,,,2021,2,0
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,29.71,5.4,,,R31,8.58,60,151,135,151,120,,,2021,1,557
75,51,40,58,37.33,78,23.24,4,22.43,6,,,,,R80,6.8,69,39,80,49,66,63,,2021,1,297
77,24,33.5,136,27.41,87,,,,,,,,,R164,6.96,54,128,51,,,,,2021,2,179
58.8,36,29,70.5,22.28,27,15.46,18.6,5.28,2.3,,,,,R98,3.46,26,,,,,,,2021,2,0
66,25,30,88,58.4,103.3,31.7,70.5,,,,,,,R 55,10.1,58,,,,,,,2022,2,0
71,33,34.2,121,27.9,11,23,89.5,,,,,,,R14,4,27.5,122.8,,,,,,2021,2,122.8
73,72,219.2,41,65,97,24.2,28.3,,,,,,,R56,6.9,52,107,117,151,127,,,2022,1,502
68,26,34.5,222,64.5,5,28.2,1,,,,,,,R55,7.5,67.5,160,,,,,,2022,2,160
68,26,34.5,66,90,115.7,30.5,3,13,2.7,,,,,R36,5.1,23,110,170,,,,,2022,2,280
76,53,44,137,77,61,61.4,15,31.9,2.5,22.1,9,15.7,36,R51,7.8,63,208,213,170,,,,2022,1,591
73,45,39,225,83.03,15,75.3,22.5,46.28,30,,,,,R150,13.47,96,134,229,210,,,,2021,1,573
64.5,54.5,38,43,43,49,,,,10.5,11.5,2,,,R63,6.5,61.5,144,173,,,,,2019,1,317
69.5,49,35.4,224.5,80.06,31,43.4,41,22.8,10,17.89,14,14.27,13,R46,8.46,38.5,150,171,212,169,,,2021,1,702
71.5,45,32,156.3,11.45,30.3,,,,,,,,,R21,5.07,14,,,,,,,2021,2,0
70,56,28.3,226,53.4,52,25.2,38,,,,,,,R11,8.7,75,186,127,106,167,,,2022,1,586
73,50,39,117,93.8,161.4,65.5,11,,,,,,,R15,7.8,56,143,160,,,,,2022,1,303
69.5,55,34,103,35.4,8.4,23.8,36,,,,,,,R100,7.07,40,136,141,,,,,2021,1,277
64.5,54.5,38,50,26.5,5,,,,25,5.5,6,,,R3,4.5,17.5,125,139,,,,,2019,1,264
72,44,33,157,66,4,,,,,,,,,R 20,10.4,114,140,120,130,110,,,2022,2,500
73,92,213,37.2,86.4,56,67.8,43,42.6,20,29.3,20,19.5,4,R101,10.5,88,157,160,57,144,126,,2022,1,644
70,57,35,191,36.6,19,,,,,,,,,R97,12.9,121,160,165,168,132,131,137,2021,1,893
71.5,41,32.5,206.7,60.4,13.5,41.86,2,,,,,,,R52,10.89,52,116.76,,,,,,2021,2,116.76
73,92,198,37.2,66.1,17,29,8,19.4,36,,,,,R88,10.4,84.5,196,153,,,,,2022,1,349
77,46.5,38,196,27.3,5,,,,,,,,,R40,13.07,105,108,136,145,105,,,2021,2,494
75,34,41,217,122.1,10,81.7,42,26,3,15.2,20.8,,,R114,5.4,37.4,143,,,,,,2022,1,143
75,42,35.5,196.5,90,11.5,47.3,27.5,11.8,5,,,,,R25,4,22.7,90,,,,,,2022,1,90
71.4,33,39,210,74.2,45,66.3,10,50.8,28.5,41.9,18,30.8,35,R124,8.4,42,167,154,177,204,200,,2021,1,902
75,31.5,35,96,58.2,2.9,27.1,64,13.8,8.5,,,,,R 101,11.3,122,130,120,100,,,,2022,2,350
72,40,34,80,47,74,14,0,,,,,,,R 123,9.4,71,150,,,,,,2022,2,150
73,46,32,72,69.4,68.7,40,5,21,54.1,,,,,R 69,5.5,27,,,,,,,2022,2,0
77,45,25.5,199.5,,,,,,,,,,,R14,7.1,40,121,147,131.98,,,,2021,2,399.98
73,34,38,112,50.6,67.8,15,42.5,,,,,,,R 42,6.5,33.5,110,170,,,,,2022,2,280
59,55,34,10,69,22,38,7,,,,,,,R96,10,44,188,179,188,181,,,2019,1,736
71,41,38,134,63.5,123,31.9,7,23.38,20,,,,,R48,5.09,23,97,,,,,,2021,1,97
72,33,44,74,98.5,113,90,116,57.4,63,,,,,R 97,8.6,64,150,80,120,100,,,2022,2,450
75,51,40,142,104,22,64.7,40,46.3,19,,,,,R103,9.18,63,124,180,201,,,,2021,1,505
69,34,37,85,38,10,,,,,,,0,0,R24,5,27,126,,,,,,2019,2,126
70,71,40.5,187,34.5,12,27.5,4,19.6,11,,,,,R42,5.7,31,138,,,,,,2021,1,138
77,35,38,270.5,69.5,14,21.46,44.5,35.24,14,27.8,5,25.6,5.5,R95,10,60,180,,,,,,2021,2,180
64.5,34,33,0,66,8,34,14,,,,,,,R11,7.5,22,182,,,,,,2019,2,182
55.5,51,29.3,28,46.46,12,55,0,,,,,0,0,R84,9,41,124,118,166,,,,2019,2,408
65.5,43,37.5,53,71,7.5,,,,8,,,,,R118,6,3,242,,,,,,2019,1,242
60,50,108,60,39,7.5,14,12,9.5,2,,,,,R76,7,67.5,164,162,147,166,128,165,2019,1,932
65.5,43,37.5,54,62.5,39,,,,5.5,8.5,4,,,R4,6,49,192,116,119,,,,2019,1,427
77,40,37,45,24.09,53,22.24,3,13.3,0,,,,,R96,9.3,83,78,123,113,,,,2021,2,314
64,51,117,130,69,10.5,11,5,,,,,,,R51,5.5,20.5,140,156,,,,,2019,1,296
65.5,43,37.5,54,62.5,39,,,,,,4,,,R6,9,73,163,161,162,160,,,2019,1,646
70,57,35,199,81.9,66,58.44,51.2,22.34,6,16.73,16,,,R115,7.5,39,172,248,206,,,,2021,1,626
64.5,34,32.5,15,45,41,35,0,,,,,,,R55,8,84,252,160,84,,,,2019,2,496
75,34,34.5,188,66.8,0,26.2,0,13.2,43.2,,,,,R 10,3.9,26,120,,,,,,2022,2,120
75,50,36,190,81.6,48,27.5,4,17.81,1,,,,,R25,9.18,75,154,215,174,137,145,152,2021,1,977
64.5,34,32.5,7,,,,,,,,,,,R50,9.5,93,158,164,234,,,,2019,2,556
59,55,34,60,,,,,,,,7,,,R114,10,63,206,139,200,215,,,2019,1,760
75,55,34.3,154.2,77.34,21.6,25.14,40.5,,,,,,,R122,9.45,65,161,153,,,,,2021,1,314
55.5,51,31.5,42,18.5,68,,,,,,,0,0,R26,5.71,17.5,136,,,,,,2019,2,136
71.5,41,32.5,129.5,44.8,46.5,39.2,20.8,33.1,3,,,,,R43,9.35,81,116.76,116.76,91,131,116.76,116.76,2021,2,689.04
76,53,38,60,65.1,59,22.9,36,17.8,31.8,,,,,R72,7.8,53,,,,,,,2022,1,0
77,8,34.5,74,24.25,8,18.8,80,,,,,,,R4,8.19,67,,,,,,,2021,2,0
58.8,26,34,65,67.03,45,23.02,3,12.68,21.3,,,,,R29,4.26,32,162,137.23,,,,,2021,2,299.23
64.5,34,32.5,66,55.5,17,,,,,,,,,R23,7,70,92,70,74,,,,2019,2,236
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,29.71,10.6,24.3,2.5,R32,8.25,50,146,126,,,,,2021,1,272
66,20,44,87,70,76,12.5,2.8,,,,,,,R 15,8.2,86,160,100,120,,,,2022,2,380
73,59,38,207,85.3,42,58.1,33,18.6,13,,,,,R120,11.5,46,166,202,,,,,2022,1,368
59.5,31,36,0,40,16,,,,,0,0,0,0,R86,4.5,8,140,,,,,,2019,2,140
71.3,35,36,244.4,,78,71.8,5,19.4,58,,,,,R 135,7.4,53,210,,,,,,2022,2,210
73,45,39,127,52.35,7,,,,,,,,,R120,8.33,91,105,85,61,86,72,,2021,1,409
58.8,26,34,224.9,48.24,55.5,26.25,19,,,,,,,R56,6.19,31,,,,,,,2021,2,0
71.5,44,32,74,41.11,119,11.46,2,,,,,,,R120,6.8,43,120,,,,,,2021,2,120
75,35,36,202.2,65.7,6,10.6,2.3,,,,,,,R 140,6.3,28,90,120,120,,,,2022,2,330
76,53,44,94,51.5,8,39.5,25,25.8,1.5,9.2,3,,,R37,5.4,45,,,,,,,2022,1,0
73,72,192.2,41,45.1,108,15.6,12,,,,,,,R37,9.6,85,175,152,122,139,,,2022,1,588
77,8,34.5,74,24.25,8,18.8,7,,,,,,,R1,7.8,108,101,121,60,,,,2021,2,282
75.5,38.5,38,174,51.7,17,44,63,15,4,10.8,10,,,R63,5.5,26,85,104,144,143,126,,2021,1,602
69,34,34,48,,,,,,,,,0,0,R1,5,11,160,,,,,,2019,2,160
75,35,36,202.2,65.7,26,65.3,81.9,50,22,,,,,R 145,6.4,65,140,90,90,,,,2022,2,320
66.5,40,39,32,60,36,43,12,,,,,0,0,R28,9.48,93,200,,,,0,0,2019,2,200
77,46.5,38,244,54.27,43,27.2,29,,,,,,,R53,8.8,60,123,113,131.98,,,,2021,2,367.98
71.4,34,36.1,204,99.93,10,64.35,5,20.14,7,11.66,41.2,,,R44,5,28,93,100,63,72,,,2021,1,328
77,45,25.5,186.5,20.29,3,13.62,3,,,,,,,R12,6.04,26,131.98,,,,,,2021,2,131.98
75,62,32,200,71.8,17,31.4,27,30.6,3,,,,,R30,6.9,53,115,147,192,,,,2022,1,454
75,55,34.3,188.1,77,7,49.05,18,,,,,,,R131,8.57,58,122,113,,,,,2021,1,235
72,40,34,188,57,2,,,,,,,,,R 130,11.3,103,,,,,,,2022,2,0
59,55,34,3,,,,5,,,,,,,R104,7,80,167,163,131,181,,,2019,1,642
65.5,43,37.5,57,20,9,,5,,,,,,,R67,4.5,20,168,,,,,,2019,1,168
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,28.17,42,,,R30,7.97,51,131,172,,,,,2021,1,303
62,32,36,44,44,18,,,,,,,,,R41,4.13,,128.51,,,,,,2021,2,128.51
77,6,36.5,116,20.29,37.8,,,,,,,,,R83,5.86,32,123.51,,,,,,2021,2,123.51
73,34,38,16,66,83.5,46.9,8,35.2,0,15.3,8,,,R 47,6.7,55,100,90,90,,,,2022,2,280
65.5,43,37.5,48,71,26,,,,37,31,,,,R126,10,20,200,,,,,,2019,1,200
73,51,35.5,117.5,72.8,145,34.77,11,28.14,9,30.29,18,,,R104,6,34,72,109,,,,,2021,1,181
73,72,192.2,41,45.1,117,23.1,5,,,,,,,R38,8.7,67,167,80,136,63,,,2022,1,446
72,40,34,188,57,3,30.1,22,,,,,,,R 131,8.3,92,130,120,,,,,2022,2,250
72,33,44,74,98.5,113,90,94,80,0,29,2.7,,,R 93,10,80,180,100,140,,,,2022,2,420
70,60,39,69,85.6,25,42.4,90,25.6,20,,,,,R26,10.9,80,197,149,67,,,,2022,1,413
77,37,38,279.2,15.9,1,,,,,,,,,R 131,11.2,105,210,,,,,,2022,2,210
71,33,38,178,,,,,,,,,,,R142,5.86,35.4,122.8,,,,,,2021,2,122.8
71.3,32.5,41.6,66,,64,53.8,48.2,26,62.3,,,,,R 72,7.6,49,160,,,,,,2022,2,160
62,30.4,30,250.9,25.52,2.4,,,,,,,,,R103,16.17,,128.51,128.51,128.51,,,,2021,2,385.53
72,33,44,74,98.5,41,17.8,5,,,,,,,R 73,3.7,21,120,,,,,,2022,2,120
69,34,28.5,0,,,,,,,,,0,0,R59,7,77,168,108,92,,,,2019,2,368
70,57,35,199,81.9,66,58.44,51.2,22.34,6,16.73,13,,,R114,6.33,26,202,,,,,,2021,1,202
69.5,63,37.6,100,77.7,12,18.7,15,,,,,,,R73,5.9,30,168,137,,,,,2021,1,305
73,34,38,72.5,46,82.8,,,,,,,,,R 36,7.8,46.5,120,,,,,,2022,2,120
64.5,54.5,38,30.5,105.5,27,,,,20,,,,,R107,5.5,24.5,155,197,164,,,,2019,1,516
62,32,36,44,44,85,,,,,,,,,R45,6.5,,128.51,,,,,,2021,2,128.51
70,55,37,211,58.4,7,48.7,83,34.5,10,30.5,27,,,R76,11,67,148,105,99,,,,2022,1,352
77,46.5,38,242,50.3,12,36.6,25,,,,,,,R49,14.67,102,131.98,161,,,,,2021,2,292.98
77,37,38,181.2,41,0,,,,,,,,,R 120,5.6,43,150,80,,,,,2022,2,230
64,51,117.5,84,30,9,,8,,,,,,,R109,7.5,45,172,143,162,,,,2019,1,477
65.5,43,37.5,124,52,6,,,,,,,,,R56,7.5,49,175,131,,,,,2019,1,306
60,50,113,34,69,8,39,3.5,21,2,,,,,R69,11.5,60,173,171,146,,,,2019,1,490
64.5,54.5,38,36,72,2,,,,13.5,,,,,R45,9,25,145,178,141,,,,2019,1,464
69,34,37,85,38,31,,,,,,,0,0,R28,10.5,113.5,132,102,156,144,,,2019,2,534
73,51,35.5,59,33,16,18.6,35.6,,,,,,,R84,12.9,107.3,119,113,,124,,,2021,1,356
71.3,40,36.8,52,,98,6.2,2.5,,,,,,,R 4,5,27.4,100,,,,,,2022,2,100
70,56,28.3,218,112.9,35,53.4,51,,,,,,,R6,10.9,84,159,130,105,115,91,160,2022,1,760
75,31.5,35,190.5,77.7,53,36.1,49.3,27.4,17,8.8,18.5,,,R 118,4.5,26.1,,,,,,,2022,2,0
77,27,37,151,,,,,,,,,,,R131,5.5,23.5,,,,,,,2021,2,0
77,35,38,89,72.3,81,69.23,47,60,2,10.27,6,,,R69,6.06,32.5,142,,,,,,2021,2,142
55.5,51,31.5,42,18.5,-5.5,25.83,3,,,,,0,0,R34,6.82,53,136,160,132,,,,2019,2,428
77,45,25.5,118,,,,,,,,,,,R8,6.68,46,136,146,98,,,,2021,2,380
73,60,43,150,66.7,8,30.1,18,16.6,37,18,2,,,R82,6.7,68,92,91,,,,,2022,1,183
73,60,43,57,24.2,6,27.5,11,19.3,13,,,,,R57,4.7,45,72,,,,,,2022,1,72
73,59,38,113,51.9,5,28,46.9,,,,,,,R92,7.1,81,100,112,104,84,,,2022,1,400
75.5,41,39.4,220,83.4,23,65.6,15,46,29,32.9,29,19.28,2,R55,7.6,49,158,139,121,217,,,2021,1,635
73,72,124.2,41,43.6,3.5,21.7,17.2,16,8,10.9,11.7,,,R30,6.3,62,114,119,93,,,,2022,1,326
71.3,32.5,41.6,118,,0,25.3,69.5,,,,,,,R 78,5.4,33,70,110,,,,,2022,2,180
67,33.5,33.5,192.5,67,40,15.3,19,11.9,30,,,,,R14,6.4,36,133.37,,,,,,2021,2,133.37
76,53,38,60,65.1,15,22.9,6,,,,,,,R68,7,44,270,,,,,,2022,1,270
64,51,117.5,84,30,9,14,6,,,,,,,R107,6.5,52,146,169,172,,,,2019,1,487
68,30,40.5,106,22,47.5,,,,,,,,,R63,5.7,22,129,,,,,,2021,2,129
73,27,34,256,42,3,20,72.5,,,,,,,R 114,7.4,43,120,130,,,,,2022,2,250
67,33.5,33.5,192.5,67,86,5.7,8.5,,,,,,,R19,5.5,23,133.37,,,,,,2021,2,133.37
77,35,38,183,57.6,110.5,46,6,22.26,7.5,,,,,R82,6.9,59,131.98,,,,,,2021,2,131.98
73,72,124.2,41,43.6,3.5,21.7,17.2,16,12.5,14.6,2,,,R31,7.1,64,96,163,173,85,,,2022,1,517
60,50,108,10,71,45,18,3,25,12.5,,,,,R102,7,49.5,143,207,176,169,,,2019,1,695
77,40,37,258.5,,,,,,,,,,,R114,11.3,64.5,135,,,,,,2021,2,135
60,50,108,41,82,12.5,67,31,25,12.5,,21.5,,,R97,15,88,158,169,178,,,,2019,1,505
71.3,35,36,244.4,,49,61,0,27.7,0,10.4,6,,,R 128,7.7,73,150,140,100,110,,,2022,2,500
75,43,42,138.3,100.7,127.3,37,71.6,,,,,,,R84,8.3,46,146,121,,,,,2022,1,267
62,25.5,35.5,181,24.8,12,,,,,,,,,R24,6.9,,128.51,128.51,128.51,128.51,,,2021,2,514.04
64.5,54.5,38,38,56.5,69,49,45,22.5,2,,,,,R23,6,34,146,159,177,,,,2019,1,482
75.5,44,38.5,91,68.6,111,67.1,59,43.6,15,40.8,34.5,31.5,35.5,R21,10.8,69.5,133,180,140,,,,2021,1,453
71,33,34.2,61,26.9,2.5,19,0,,,,,,,R3,6.5,55,122.8,,,,,,2021,2,122.8
77,46,26.2,66.5,47.1,127.7,7.7,3.6,,,,,,,R 6,5.3,33.2,170,140,100,,,,2022,2,410
70,57,35,191,36.6,15,19.3,8,12.26,17.6,,,,,R95,6.92,44,83,142,176,157,,,2021,1,558
66,20,44,261,60.2,5,25,1,,,,,,,R 40,6.7,43,150,180,,,,,2022,2,330
71,53,31,259,65.55,14,10.12,4,,,,,,,R85,5.35,44,158,123,162,,,,2021,1,443
75,34,41,109.5,53.5,1.5,14,99.7,,,,,,,R103,5,32,139,,,,,,2022,1,139
77,35,38,227,25.8,2,,,,,,,,,R88,7,72,166,131.98,,,,,2021,2,297.98
71.5,44,32,229.5,,,,,,,,,,,R131,7.6,46,183,116.76,,,,,2021,2,299.76
77,35,38,89,72.3,4,29.5,124,,,,,,,R64,7.17,71.5,72,131.98,131.98,,,,2021,2,335.96
71.5,44,32,176.5,10.41,4.5,,,,,,,,,R126,7.2,90,131,152,170,,,,2021,2,453
77,40,37,75,19.9,5,,,,,,,,,R106,10.03,95,103,131.98,98,,,,2021,2,332.98
64.5,34,32.5,15,45,41,35,2.5,,,,,,,R53,6,48,154,140,,,,,2019,2,294
77,35,38,270.5,69.5,14,,,,,,,,,R90,8.27,42,131.98,131.98,,,,,2021,2,263.96
71,33,44.6,26,31,22,21.33,27.5,10.4,18,,,,,R87,4.7,45,106,122.8,64,36,,,2021,2,328.8
77,6,36.5,80,40.5,54,29.31,27.5,,,,,,,R66,6.43,53,105,58,37,111,121,,2021,2,432
69,34,32,14,,,,,,,,,0,0,R94,5.5,43.5,160,,,,,,2019,2,160
58.8,35,28,213.5,50,42,34.24,46.5,26.96,42.5,,,,,R80,9.29,69,137.23,137.23,,,,,2021,2,274.46
59,55,34,41,,,,,,10,,,,,R9,7,55,144,143,,,,,2019,1,287
75,48,43,175,73.1,57,23,51,17.6,0,,,,,R52,5.8,25,231,,,,,,2022,1,231
70,55,37,211,58.4,7,48.7,83,34.5,23,14.2,14,,,R79,7.1,62,106,145,146,,,,2022,1,397
67,32,32,211.5,48.92,14,34.5,17,,,,,,,R74,4.7,18,133.37,133.37,,,,,2021,2,266.74
73,34,38,100.8,53.3,97.5,20,1.7,,,,,,,R 52,10.5,87,200,180,100,110,,,2022,2,590
71.3,32.5,41.6,145,,79.5,52.1,2.5,26.7,35.6,,0,15.7,31,R 96,7.5,54,80,150,100,100,,,2022,2,430
77,35,38,89,72.3,81,69.23,39,13.15,5.5,,,,,R67,9.9,86,131.98,131.98,,,,,2021,2,263.96
75,34,34.5,190.5,106.3,116.5,43.1,32.2,,,,,,,R 30,8.2,72.5,190,160,110,,,,2022,2,460
73,45,39,135,81.9,35,71.6,51,36.13,40,33.44,31,7.9,12.5,R139,5,20,191,,,,,,2021,1,191
73,92,128,37.2,71.4,4,35.5,2.7,23.8,16.6,,,,,R79,6.1,49,208,138,,,,,2022,1,346
77,37,41,183.1,101.8,119.7,56.4,39,29.8,24.5,,,,,R 93,8.4,71,190,140,200,100,,,2022,2,630
66.5,40,90,34,40,10,13.44,13,,,,,0,0,R38,5.48,29,,,,,0,0,2019,2,0
71,50,36.5,208,60,28,61.48,29,18.7,14,,,,,R7,7.7,47.7,105,149,129,83,73,,2021,1,539
73,45,39,135,81.9,35,71.6,51,36.13,37,26.8,27,,,R137,11.17,66,138,164,160,176,82,,2021,1,720
75,60,41,117,79.1,105,23.5,23,12,7,,,,,R22,4.9,20,,,,,,,2022,1,0
77,37,41,162.8,55.3,3.4,32.9,2,24.1,21,,,,,R 81,13.9,132,170,230,80,,,,2022,2,480
70,55,37,211,58.4,7,48.7,19,,,,,,,R73,7.1,48,160,143,,,,,2022,1,303
73,46,32,245.9,46.8,0,34.4,2,13.7,2,6.9,1.2,,,R 88,5.3,24,230,90,,,,,2022,2,320
77,46.5,38,59,87.6,106,,,,,,,,,R27,17.72,122,146,131.98,131.98,,,,2021,2,409.96
73,52,42,192,80.33,54,55.88,8,44.2,25,14.59,9,,,R60,7.17,51,207,141,148,,,,2021,1,496
62,25.5,35.5,213,21,5,10.8,4,,,,,,,R36,8.25,,,,,,,,2021,2,0
62,30,31,186,39.34,23,50.8,72,31.55,25,15.62,4.5,,,R132,7.7,,128.51,,,,,,2021,2,128.51
69,34,28.5,17,,,,,,,,,0,0,R76,13.5,120,164,,,,,,2019,2,164
71.3,40,36.8,52,,89,,,,,,,,,R 3,11,85,120,110,100,,,,2022,2,330
75,38,37,198,100,3.5,86.4,7.5,,,,,,,R45,4.5,24,,,,,,,2022,1,0
71,33,44.6,26,31,78,,,,,,,,,R93,8,96,45,34,42,48,,,2021,2,169
64.5,54.5,38,129,30.5,9.5,,,,,,6,,,R131,5.5,34,198,176,148,,,,2019,1,522
59,55,34,3,,,,5.5,,,,,,,R107,6.5,47,146,144,161,,,,2019,1,451
75,58,37,76,60.9,16,29.26,42.5,,,,,,,R39,7.08,82,43,114,82,81,81,68,2021,1,469
73,72,215.2,41,59.8,50.5,,,,,,,,,R46,5,34,124,59,,,,,2022,1,183
75,34,35.3,179,50.2,0,7.7,7,,,,,,,R 49,5.5,58,140,,,,,,2022,2,140
77,45,25.5,118,,,,,,,,,,,R8,6.68,46,136,146,98,,,,2021,2,380
71,53,31,259,52.39,32,52.7,28,21.7,3.5,15.27,15,6.47,3,R95,5.5,17,147,165,,,,,2021,1,312
75,48,43,135,78.6,54,25.2,4,20.4,29,,,,,R37,5.8,42,223,103,,,,,2022,1,326
77,37,41,183.1,101.8,63.2,40.2,2.7,,,,,,,R 84,12.4,106,200,140,130,,,,2022,2,470
60,50,108,10,71,0,17.5,17,12.5,5.5,,,,,R104,6.5,107,178,178,240,177,156,,2019,1,929
59,55,34,60,,,,,,,,15,,,R121,14.5,59,171,161,,,,,2019,1,332
