Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,5ème ss charpante,Unnamed: 13,Rameaux,Unnamed: 15,Unnamed: 16,Fruit 1,Unnamed: 18,Fruit 2,Unnamed: 20,Fruit 3,Unnamed: 22,Fruit 4,Unnamed: 24,Fruit 5,Unnamed: 26,Fruit 6,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
64.5,34,32.5,12,63,52,18,11,,,,,,,R73,9,73,156,66,144,64,,,,,,,,,73,2,72,302,18,11,313
64.5,34,32.5,12,63,52,18,0,,,,,,,R74,11,76,104,57,138,68,140,63,138,60,,,,,74,2,72,313,18,0,313
64.5,34,32.5,12,63,52,18,6.5,,,,,,,R75,8.5,63,142,62,160,67,,,,,,,,,75,2,72,313,18,6.5,319.5
64.5,34,32.5,12,63,52,18,32,,,,,,,R76,11.5,66,154,64,166,64.5,150,65,156,66,,,,,76,2,72,319.5,18,32,351.5
64.5,34,32.5,12,63,52,18,2,,,,,,,R77,24,109,178,68,180,69,,,154,64.5,,,,,77,2,72,351.5,18,2,353.5
64.5,34,32.5,27,,,,,,,,,,,R78,13,105,190,78.5,154,68.5,94,53,,,,,,,78,0,1,824,32.5,27,851
64.5,34,32.5,38,34,13,,,,,,,,,R79,5.5,21,198,74,,,,,,,,,,,79,1,15,889,34,13,902
64.5,34,32.5,38,34,6,,,,,,,,,R80,9,68,186,71,178,69,110,54,,,,,,,80,1,15,902,34,6,908
64.5,34,32.5,38,34,6.5,9.5,5.5,,,,,,,R81,7,47.5,140,64,126,64,108,65,144,55,,,,,81,2,80,914.5,9.5,5.5,920
64.5,34,32.5,38,34,6.5,9.5,2,,,,,,,R82,7,27,136,61.5,,,,,,,,,,,82,2,80,920,9.5,2,922
64.5,34,32.5,38,34,6.5,9.5,3,14.5,8,,,,,R83,10,78,192,71.5,194,73,148,66,,,,,,,83,3,82,925,14.5,8,933
