Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
,,37,86,36,6,16.5,14,,,,,,,R65,5.5,28,,R65,155,64,130,61,,,,,,,,,,,,
,,,,,,,24.5,8,5.5,,,,,R66,6,23,,R66,128,63,,,,,,,,,,,,,,
,,,,,27,,,,,,,,,R67,6.5,57,,R67,147,64.5,134,61.5,,,,,,,,,,,,
,,,,,33,,,,,,,,,R68,13,97,,R68,200,71,159,64,172,66.5,,,,,,,,,,
,,,,,6,,,,,,,,,R69,5,32,,R69,170,68,140,62.5,,,,,,,,,,,,
,,,,,25,16,11,,,,,,,R70,8.5,60,,R70,140,63,141,72.5,129,59,,,,,,,,,,
,,,20,55,26,,,,,,,,,R71,7,20,,R71,171,68,,,,,,,,,,,,,,
,,,,,9,,,,,,,,,R72,9,57,,R72,172,68.5,122,57.5,,,,,,,,,,,,
,,,,,19.5,,,,,,,,,R73,10,61.5,,R73,141,62,151,64.5,136,59.5,,,,,,,,,,
,,,,,11,21,12,,,,,,,R74,9.5,54,,R74,173,68,153,64,,,,,,,,,,,,
,,,,,,,10,,,,,,,R75,5,21,,R75,132,59.5,,,,,,,,,,,,,,
,,,,,,,9.5,,,,,,,R76,5.5,11,,R76,124,63,,,,,,,,,,,,,,
,,,,,,,14.5,,,,,,,R77,15.5,26,,R77,137,60.5,169,64.5,,,,,,,,,,,,
,,,50,45,17.5,23.5,2.5,9,13,5,6,,,R78,4,10,,R78,137,64.5,,,,,,,,,,,,,,
,,,,,,,2,17.5,20,,,,,R79,6,40.5,,R79,148,64,176,68.5,170,67,,,,,,,,,,
,,,,,,,,,8,,,,,R80,6.5,43,,R80,160,64,143,62.5,116,58,,,,,,,,,,
,,,,,70,22,6,17.5,5,,,,,R81,9.5,78,,R81,156,68,142,64,122,59,,,,,,,,,,
,,,,,16,18,5,7.5,9,,,,,R82,8,27,,R82,164,64.5,162,69,,,,,,,,,,,,
,,,,,19,20,16.5,6.5,6,,,,,R83,5,24,,R83,144,63,143,62,,,,,,,,,,,,
,,,,,,,,,34,11.5,5,,,R84,8.5,47,,R84,192,69.5,190,70,201,71.5,,,,,,,,,,
,,,,,2,25,3.5,13,4.5,,,,,R85,7,44,,R85,175,65.5,150,72,122,58,,,,,,,,,,
,,,,,,,,,16.5,,,,,R86,10,78,,R86,137,63,162,66,178,67,147,59,152,65,,,,,,
,,,24,19,12,10.5,2,,,,,,,R87,6,43,,R87,175,68,202,69,150,64,,,,,,,,,,
,,,,,9,14,10,,,,,,,R88,7.5,43,,R88,148,64,140,62,209,71.5,,,,,,,,,,
,,,71,14,6.5,,,,,,,,,R89,8,46,,R89,151,71,191,70,170,67,,,,,,,,,,
,,,5,38,10.5,24,25,,,,,,,R90,15,109,,R90,203,68,214,73,211,69,212,69,,,,,,,,
,,,,,,,,9,4.5,,,,,R91,7.5,62,,R91,265,72,196,70,201,71,190,68.5,,,,,,,,
,,,,,,,,,12,24,8,6.5,6,R92,6,25,,R92,,,,,,,,,,,,,,,,
,,,,,,,,,,,4.5,15,5,R93,12,71,,R93,159,64.5,176,67,189,69,193,68,,,,,,,,
,,,,,,,,,,,20,,,R94,6,31,,R94,129,63.5,148,65,,,,,,,,,,,,
,,,,,,,,,,,7.5,19,4,R95,15,83,,R95,285,79,215,70,199,67,245,73,198,68.5,,,,,,
,,,10,69,22,38,7,,,,,,,R96,10,44,,R96,188,70,179,71,188,67.5,181,69.5,,,,,,,,
,,,,,,,4,35,3.5,,,,,R97,17,100,,R97,179,71,186,70,189,66.5,222,71.5,214,72.5,,,,,,
,,,,,,,,,10.5,,,,,R98,5,26.5,,R98,251,77.5,,,,,,,,,,,,,,
,,,,,,,,,8.5,,,,,R99,14.5,63,,R99,256,78.5,152,72,170,67,,,,,,,,,,
,,,,,,,,,4,,,,,R100,9,38,,R100,179,64.5,203,70,,,,,,,,,,,,
,,,,,,,,,18.5,,,,,R101,20,86,,R101,179,65.5,160,65,,,,,,,,,,,,
,,32.5,13,,,,,,,,,,,R102,8,3,,R102,194,69,,,,,,,,,,,,,,
,,,3,22,6,18,33.5,,,,,,,R103,8,40,,R103,189,71.5,137,61.5,161,69,,,,,,,,,,
,,,,,,,5,,,,,,,R104,7,80,,R104,167,66.5,163,66.5,131,61,181,70,,,,,,,,
,,,,,,,5.5,,,,,,,R105,6.5,37.5,,R105,143,64.5,133,60,141,63,,,,,,,,,,
,,,,,,,10,,,,,,,R106,7,73,,R106,169,69.5,156,65.5,135,64,142,67,,,,,,,,
,,,,,,,5.5,,,,,,,R107,6.5,47,,R107,146,64,144,63.5,161,67.5,,,,,,,,,,
,,,,,,,5.5,,,,,,,R108,11,40,,R108,191,71.5,198,72.5,165,72.5,,,,,,,,,,
,,,19,10,4.5,,,,,,,,,R109,6.5,2,,R109,177,66,,,,,,,,,,,,,,
,,,,,2.5,,,,,,,,,R110,6,43,,R110,163,65.5,164,64.5,,,,,,,,,,,,
,,,60,81,5,55,7.5,11.5,7.5,,,,,R111,5.5,42,,R111,175,70,216,73,220,74,,,,,,,,,,
,,,,,,,32,38,5,23,4.5,,,R112,9,60,,R112,162,65.5,158,66.5,169,67,140,65,,,,,,,,
,,,,,,,,,,,13.5,,,R113,16.5,91,,R113,146,63,153,62,141,66.5,240,75,,,,,,,,
,,,,,,,,,,,7,,,R114,10,63,,R114,206,72,139,63.5,200,71,215,73,,,,,,,,
,,,,,,,,,15,,,,,R115,8.5,52,,R115,217,73.5,223,71.5,179,78.5,,,,,,,,,,
,,,,,,,,,2,24,11.5,,,R116,9,40,,R116,236,72,189,70,,,,,,,,,,,,
,,,,,,,,,,,7,,,R117,10.5,35,,R117,223,73.5,212,72.5,209,73,245,75.5,215,72,,,,,,
,,,,,,,,,,,4.5,,,R118,6.5,31,,R118,181,67,158,71.5,,,,,,,,,,,,
,,,,,,,,,,,22.5,,,R119,8,39,,R119,170,58,141,61,,,,,,,,,,,,
,,,,,,,,,,,8,,,R120,6,28.5,,R120,191,68.5,181,70,202,73,,,,,,,,,,
,,,,,,,,,,,15,,,R121,14.5,59,,R121,171,65,161,64.5,,,,,,,,,,,,
,,,,,7,49,32,15,19.5,,,,,R122,10,39,,R122,190,67,161,59,207,71,,,,,,,,,,
,,,,,,,,,12,7.5,4,,,R123,4,18,,R123,197,69,203,72,,,,,,,,,,,,
,,,,,,,,,,,3.5,,,R124,6.5,36,,R124,199,69.5,203,71,,,,,,,,,,,,
,,,,,,,1,,,,,,,R125,8.5,58,,R125,219,73,152,69,170,67,,,,,,,,,,
,,,,,,,16,20,4.5,,,,,R126,8.5,38,,R126,180,70,174,71.5,200,68,,,,,,,,,,
,,,,,,,27,,,,,,,R127,11,56,,R127,208,71,194,70,201,69.5,,,,,,,,,,
,,,,,,,10.5,,,,,,,R128,12,46.5,,R128,225,71.5,230,75.5,189,67.5,,,,,,,,,,
,,,,,7,16,7,,,,,,,R129,13.5,55,,R129,216,71.5,213,80,202,69,,,,,,,,,,
