Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,Rameaux,Unnamed: 11,Unnamed: 12,Fruit 1,Unnamed: 14,Fruit 2,Unnamed: 16,Fruit 3,Unnamed: 18,Fruit 4,Unnamed: 20,Fruit 5,Unnamed: 22,Fruit 6,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
59.5,31,36,15.5,38,7,,,,,R104,9,70,150,65,136,64,134,60.5,,,,,,,104,1,101,403.5,38,7,410.5
59.5,31,36,31,12,1,,,,,R105,5.5,48,162,68,124,56.5,,,,,,,,,105,1,101,321.5,12,1,322.5
59.5,31,36,0,9,6.5,,,,,R106,6,48,132,61,128,59,,,,,,,,,106,1,101,321.5,9,6.5,328
59.5,31,36,22,,,,,,,R107,11,100,162,70,162,67,134,63.5,146,65,,,,,107,0,49,321.5,36,22,343.5
59.5,31,36,19,,,,,,,R108,10,56,118,57,124,59,166,66.5,140,60.5,158,69,170,66,108,0,49,343.5,36,19,362.5
59.5,31,36,0,39,1.5,,,,,R109,7,45,120,61.5,112,58,,,,,,,,,109,1,109,343.5,39,1.5,345
59.5,31,36,-16,,,,,,,R110,18,58,140,62.5,92,52.5,168,69,,,,,,,110,0,49,343.5,36,-16,327.5
59.5,31,36,-16,18,58,,,,,R111,8,30,226,74,,,,,,,,,,,111,1,111,327.5,18,58,385.5
59.5,31,36,-16,18,-3.5,,,,,R112,11,54,196,70,196,72,202,74,176,70,,,,,112,1,111,385.5,18,-3.5,382
59.5,31,36,-16,18,-3.5,22,28,,,R113,13,71,198,66,166,68,226,63.5,202,71,164,71.5,,,113,1,113,382,22,28,410
59.5,31,36,13,39,23,29,10,,,R114,22,125,142,57.5,112,64,190,70,182,72,242,75.5,,,114,1,113,363.5,29,10,373.5
59.5,31,36,,,,,,,,R115,,,148,62,,,,,,,,,,,115,0,49,106,36,0,106
