Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,Rameaux,Unnamed: 13,Unnamed: 14,Fruit 1,Unnamed: 16,Fruit 2,Unnamed: 18,Fruit 3,Unnamed: 20,Fruit 4,Unnamed: 22,Fruit 5,Unnamed: 24,Fruit 6,Unnamed: 26,Fruit 7,Unnamed: 28,Fruit 8,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
55.5,51,29.3,28,46.46,70,16.42,22.5,40,6,,,R72,9,33,122,61,136,63,,,,,,,,,,,,,72,3,66,279,40,6,285
55.5,51,29.3,28,46.46,70,16.42,22.5,40,11,,,R73,7,40,124,64,142,62,136,63,,,,,,,,,,,73,3,66,285,40,11,296
55.5,51,29.3,28,46.46,70,16.42,22.5,40,5,,,R74,7,28,186,68.5,212,73.5,,,,,,,,,,,,,74,3,66,296,40,5,301
55.5,51,29.3,28,46.46,70,16.42,22.5,40,3.5,,,R75,15,80,206,75,174,71,148,66,,,,,,,,,,,75,3,66,301,40,3.5,304.5
55.5,51,29.3,28,46.46,68,14,1.5,,,,,R76,6,48,150,58,,,,,,,,,,,,,,,76,2,76,217,14,1.5,218.5
55.5,51,29.3,28,46.46,10,9,4.5,,,,,R77,7,38,146,62,122,60,,,,,,,,,,,,,77,2,76,227,9,4.5,231.5
55.5,51,29.3,28,46.46,10,,,,,,,R78,5,40,190,70,,,,,,,,,,,,,,,78,1,61,227,46.46,10,237
55.5,51,29.3,28,46.46,14.5,,,,,,,R79,10,31,166,67.5,,,,,,,,,,,,,,,79,1,61,237,46.46,14.5,251.5
55.5,51,29.3,28,46.46,42,,,,,,,R80,5,44,158,53,,,,,,,,,,,,,,,80,1,61,251.5,46.46,42,293.5
55.5,51,29.3,28,46.46,30,,,,,,,R81,8.5,62.5,210,76,200,75,130,60,,,,,,,,,,,81,1,61,293.5,46.46,30,323.5
55.5,51,29.3,28,46.46,0,,,,,,,R82,6,35,216,81,,,,,,,,,,,,,,,82,1,61,323.5,46.46,0,323.5
55.5,51,29.3,28,46.46,12,55,32,,,,,R83,10,104,148,65,142,63,140,61,102,68,,,,,,,,,83,2,83,335.5,55,32,367.5
55.5,51,29.3,28,46.46,12,55,0,,,,,R84,9,41,124,60.05,118,60.05,166,66.5,,,,,,,,,,,84,2,83,367.5,55,0,367.5
55.5,51,29.3,28,46.46,12,55,5.5,,,,,R85,26,68,196,73,,,,,,,,,,,,,,,85,2,83,367.5,55,5.5,373
55.5,51,29.3,28,46.46,12,55,5.5,26,38,,,R86,10,21,178,71.5,244,76.5,,,,,,,,,,,,,86,3,86,373,26,38,411
55.5,51,29.3,28,46.46,12,55,5.5,26,67,,,R87,10,24.5,182,68.5,,,,,,,,,,,,,,,87,3,86,411,26,67,478
55.5,51,29.3,28,46.46,12,55,5.5,26,20,,,R88,5,1,156,65.5,206,73.5,190,72,,,,,,,,,,,88,3,86,478,26,20,498
55.5,51,29.3,28,46.46,12,55,5.5,26,11,,,R89,14,67,192,72,188,70,166,60,,,,,,,,,,,89,3,86,498,26,11,509
55.5,51,29.3,28,46.46,44,,,,,,,R90,12,107,154,65.5,208,73,168,70,188,71,,,,,,,,,90,1,61,335.5,46.46,44,379.5
55.5,51,29.3,28,46.46,0,,,,,,,R91,8.5,38,136,60,122,60,,,,,,,,,,,,,91,1,61,379.5,46.46,0,379.5
55.5,51,29.3,28,46.46,21,34,20,,,,,R92,12,61.5,202,71,182,72,168,69,,,,,,,,,,,92,2,92,400.5,34,20,420.5
55.5,51,29.3,28,46.46,21,34,9,,,,,R93,10,84,122,58,156,61,162,65.5,206,74,,,,,,,,,93,2,92,420.5,34,9,429.5
55.5,51,29.3,28,46.46,21,34,14,,,,,R94,10.5,57,182,70,132,60,124,59.5,140,63,108,54,,,,,,,94,2,92,429.5,34,14,443.5
55.5,51,29.3,28,46.46,21,34,4.5,,,,,R95,14,70,195,60,136,74,174,69,,,,,,,,,,,95,2,92,443.5,34,4.5,448
55.5,51,29.3,28,46.46,21,34,0,,,,,R96,13,40,154,49,,,,,,,,,,,,,,,96,2,92,448,34,0,448
55.5,51,29.3,28,46.46,21,13,30,,,,,R97,7,40,144,63,226,75,122,,,,,,,,,,,,97,2,97,400.5,13,30,430.5
55.5,51,29.3,28,46.46,21,13,7,,,,,R98,6,43,130,62,,,,,,,,,,,,,,,98,2,97,430.5,13,7,437.5
55.5,51,29.3,28,46.46,3.5,,,,,,,R99,8,67,160,67.5,102,55,98,57.5,,,,,,,,,,,99,1,61,400.5,46.46,3.5,404
55.5,51,29.3,28,46.46,0,,,,,,,R100,8,57,,,,,,,,,,,,,,,,,100,1,61,404,46.46,0,404
